from,to
Meltem Kaptan,Pool Position Management GmbH
Ursula Strauss,die agenten
Sara Fazilat,Schwanenberg
Jella Haase,lastrada.doells
Anja Schneider,Agentur Vogel
Sandra Hüller,Agentur Schneider
Albrecht Schuch,Agentur Lambsdorff
Franz Rogowski,Agentur Players 
Farba Dieng,Agentur Adam
Alexander Scheer,Agentur Inka Stelljes
Henry Hübchen,Agentur Hübchen
Jörg Schüttauf,Agentur Lambsdorff
Godehard Giese,Agentur Schneider
Laia Costa,NA
Katarina Marie Schubert,Agentur Rudorff
Nina Hoss,Agentur Players 
Nina Kunzendorf,Agentur SCHLAG 
Claudia Messner,Agentur Lentz Peter Reinholz
Meret Becker,Agentur Players
Frederick Lau,Agentur Players 
Christian Friedel,Agentur Players 
Hanno Koffler,Agentur Inka Stelljes 
Joel Basman,YUMI Management
Burghart Klaußner,Agentur SCHLAG
Gert Voss,NA