id,name,sex,agency,role,year
mk,Meltem Kaptan,1,,1,2022
us,Ursula Strauss,1,,1,2022
sf,Sara Fazilat,1,,1,2022
jh,Jella Haase,1,,2,2022
ans,Anja Schneider,1,,2,2022
sh,Sandra Hüller,1,,2,2022
als,Albrecht Schuch,2,,1,2022
fr,Franz Rogowski,2,,1,2022
fd,Farba Dieng,2,,1,2022
ales,Alexander Scheer,2,,2,2022
hh,Henry Hübchen,2,,2,2022
js,Jörg Schüttauf,2,,2,2022
gg,Godehard Giese,2,,2,2022
lc,Laia Costa,1,,1,2015
kms,Katarina Maria Schubert,1,,1,2015
nh,Nina Hoss,1,,1,2015
nk,Nina Kunzendorf,1,,2,2015
cm,Claudia Messner,1,,2,2015
mb,Meret Becker,1,,2,2015
fl,Frederick Lau,2,,1,2015
cf,Christian Friedel,2,,1,2015
hk,Hanno Koffler,2,,1,2015
jb,Joel Basman,2,,2,2015
bk,Burghart Klaußner,2,,2,2015
gv,Gert Voss,2,,2,2015